,First,Last,Nickname,Ht.,Wt.,Reach,Stance,W,L,D,Belt
1849,Ilya,Kotau,,--,170 lbs.,--,,1,2,0,
1850,Iouri,Kotchkine,,"6' 2""",235 lbs.,--,Orthodox,7,4,1,
1851,Matt,Kovacs,300,"6' 0""",244 lbs.,--,Orthodox,12,16,0,
1852,Marcus,Kowal,,--,135 lbs.,--,,3,1,1,
1853,Karolina,Kowalkiewicz,,"5' 3""",115 lbs.,"64.0""",Orthodox,13,7,0,
1854,Steve,Kozola,,--,155 lbs.,--,,8,0,0,
1855,Derrick,Krantz,D-Rock,"5' 10""",170 lbs.,"72.0""",Orthodox,22,12,0,
1856,James,Krause,The,"6' 2""",170 lbs.,"73.0""",Orthodox,28,9,0,
1857,Pascal,Krauss,Panzer,"6' 1""",170 lbs.,--,Orthodox,11,2,0,
1858,Rene,Kronvold,,"5' 8""",170 lbs.,--,Orthodox,5,1,0,
1859,Jorgen,Kruth,The Last Viking,"6' 2""",205 lbs.,--,,5,0,0,
1860,Nikita,Krylov,The Miner,"6' 3""",205 lbs.,"77.0""",Orthodox,28,9,0,
1861,Mariusz,Ksiazkiewicz,The Iron Pol,"6' 3""",185 lbs.,"75.0""",Southpaw,8,1,0,
1862,Junya,Kudo,,--,135 lbs.,--,Orthodox,10,7,2,
1863,John,Kuhner,,--,170 lbs.,--,,1,2,0,
1864,Michael,Kuiper,,"6' 0""",185 lbs.,"73.0""",Orthodox,15,5,0,
1865,Anton,Kuivanen,,"5' 8""",155 lbs.,"72.0""",Orthodox,24,10,0,
1866,Maiju,Kujala,,--,135 lbs.,--,,6,3,0,
1867,Aleksei,Kunchenko,,"5' 8""",170 lbs.,"70.0""",Orthodox,20,2,0,
1868,Rizvan,Kuniev,,"6' 4""",240 lbs.,"76.0""",Orthodox,11,2,1,
1869,Keigo,Kunihara,,"6' 0""",235 lbs.,--,Orthodox,3,2,0,
1870,Kiichi,Kunimoto,Strasser,"5' 10""",170 lbs.,"71.0""",Orthodox,18,7,2,
1871,Yana,Kunitskaya,,"5' 6""",135 lbs.,"68.0""",Orthodox,14,6,0,
1872,Leo,Kuntz,The Lion,"5' 10""",155 lbs.,--,Orthodox,18,4,1,
1873,Korey,Kuppe,,"6' 5""",170 lbs.,"77.0""",Switch,8,4,0,
1874,Ramazan,Kuramagomedov,,"6' 1""",170 lbs.,"73.0""",Orthodox,8,0,0,
1875,Tsuyoshi,Kurihara,,"5' 10""",185 lbs.,--,Orthodox,10,8,2,
1876,Eldari,Kurtanidze,,"5' 6""",235 lbs.,--,Orthodox,0,1,0,
1877,Kyle,Kurtz,,--,170 lbs.,--,,7,5,0,
1878,Guram,Kutateladze,Georgian Viking,"5' 11""",155 lbs.,"72.0""",Orthodox,12,3,0,
1879,Lina,Kvokov,,"5' 9""",135 lbs.,--,Orthodox,0,3,0,
1880,Kaleo,Kwan,Leo Boy,"5' 7""",155 lbs.,--,,11,16,0,
1881,Jarrod,Kwitty,,"5' 8""",185 lbs.,--,,2,2,0,
1882,Mike,Kyle,MAK,"6' 4""",205 lbs.,"77.0""",Orthodox,22,14,1,
1883,,,,,,,,,,,
1884,Achmed,Labasanov,,"6' 3""",215 lbs.,--,Orthodox,7,4,0,
1885,Josh,LaBerge,,"5' 10""",145 lbs.,--,,11,6,0,
1886,Jeremiah,Labiano,The Kid,"5' 10""",135 lbs.,--,,11,5,0,
1887,Kemran,Lachinov,,--,170 lbs.,--,,3,2,0,
1888,Aspen,Ladd,,"5' 6""",135 lbs.,"66.0""",Orthodox,9,3,0,
1889,Ryan,LaFlare,,"6' 1""",170 lbs.,"74.0""",Southpaw,14,3,0,
1890,Ben,Lagman,Bad News,"6' 2""",185 lbs.,--,,6,5,0,
1891,Noad,Lahat,Neo,"5' 9""",145 lbs.,"69.0""",Orthodox,11,2,0,
1892,Tina,Lahdemaki,Jelly Bean,"5' 2""",115 lbs.,--,Orthodox,5,1,0,
1893,Yohan,Lainesse,White Lion,"6' 1""",170 lbs.,"76.0""",Orthodox,9,1,0,
1894,Tim,Lajcik,The Bohemian,"6' 1""",225 lbs.,--,Orthodox,7,6,1,
1895,Todd,Lally,,"5' 7""",145 lbs.,--,Orthodox,2,1,0,
1896,Sean,Lally,The Unpredictable One,"6' 0""",170 lbs.,--,Orthodox,7,3,0,
1897,Ricardo,Lamas,The Bully,"5' 8""",145 lbs.,"71.0""",Orthodox,20,8,0,
1898,Jason,Lambert,The Punisher,"6' 3""",185 lbs.,"75.0""",Orthodox,26,13,0,
1899,Jose,Landi-Jons,Pele,"5' 11""",170 lbs.,--,Orthodox,29,16,0,
1900,Nate,Landwehr,The Train,"5' 9""",145 lbs.,"72.0""",Orthodox,16,4,0,
1901,Austen,Lane,,"6' 6""",245 lbs.,"80.0""",Orthodox,12,3,0,
1902,Aaron,Lanfranco,,--,155 lbs.,--,,5,1,0,
1903,Jeremy,Lang,,"5' 11""",205 lbs.,--,Southpaw,21,2,0,
1904,Lionel,Lanham,,--,205 lbs.,--,,5,1,0,
1905,Lina,Lansberg,Elbow Queen,"5' 7""",135 lbs.,"65.0""",Orthodox,10,6,0,
1906,Taylor,Lapilus,Double Impact,"5' 6""",135 lbs.,"73.0""",Southpaw,18,3,0,
1907,Chad,Laprise,The Disciple,"5' 10""",170 lbs.,"71.0""",Orthodox,13,4,0,
1908,Anthony,Lapsley,The Recipe,"5' 9""",170 lbs.,--,Southpaw,23,7,0,
1909,TJ,Laramie,,"5' 6""",145 lbs.,"66.0""",Orthodox,12,5,0,
1910,Icho,Larenas,,"6' 3""",235 lbs.,--,Orthodox,6,5,0,
1911,Lorenz,Larkin,The Monsoon,"5' 11""",170 lbs.,"72.0""",Orthodox,18,6,0,
1912,Jeremy,Larsen,,"5' 10""",145 lbs.,"70.0""",Orthodox,8,5,0,
1913,Brock,Larson,,"5' 11""",170 lbs.,"71.0""",Southpaw,42,10,0,
1914,Ryan,Larson,,--,170 lbs.,--,,6,2,0,
1915,Bobby,Lashley,,"6' 3""",255 lbs.,"78.0""",Orthodox,15,2,0,
1916,Ilir,Latifi,The Sledgehammer,"5' 10""",230 lbs.,"73.0""",Orthodox,17,8,0,
1917,Sione,Latu,,"6' 0""",215 lbs.,--,,1,0,0,
1918,Jenel,Lausa,,"5' 5""",125 lbs.,"68.0""",Orthodox,7,5,0,
1919,Joe,Lauzon,,"5' 10""",155 lbs.,"71.0""",Orthodox,28,16,0,
1920,Dan,Lauzon,The Upgrade,"5' 10""",155 lbs.,--,Orthodox,17,6,0,
1921,Sandra,Lavado,Peruvian Zombie,"5' 7""",115 lbs.,"66.0""",Orthodox,10,3,0,
1922,Chatt,Lavender,,"5' 8""",170 lbs.,--,,9,7,0,
1923,Muhammed,Lawal,King Mo,"6' 0""",205 lbs.,"78.0""",Southpaw,21,6,0,
1924,Robbie,Lawler,Ruthless,"5' 11""",170 lbs.,"74.0""",Southpaw,29,16,0,
1925,Tom,Lawlor,Filthy,"6' 0""",205 lbs.,"74.0""",Southpaw,10,6,0,
1926,Justin,Lawrence,The American Kidd,"5' 8""",145 lbs.,"67.0""",Orthodox,10,4,0,
1927,Lance,Lawrence,,"6' 1""",145 lbs.,"74.0""",Orthodox,4,1,0,
1928,Ronnie,Lawrence,The Heat,"5' 8""",135 lbs.,"68.0""",Switch,8,2,0,
1929,Eric,Lawson,,"6' 0""",185 lbs.,--,Orthodox,9,5,0,
1930,Jimmy,Lawson,Greedy,"6' 0""",265 lbs.,"77.0""",Orthodox,4,2,0,
1931,Valmir,Lazaro,Bidu,"6' 0""",155 lbs.,"73.0""",Orthodox,15,5,0,
1932,Zviad,Lazishvili,,"5' 6""",135 lbs.,"69.0""",Orthodox,13,1,0,
1933,Mounir,Lazzez,The Sniper,"6' 1""",170 lbs.,"76.0""",Orthodox,11,2,0,
1934,Cung,Le,,"5' 9""",185 lbs.,"70.0""",Southpaw,9,3,0,
1935,Thanh,Le,,"5' 9""",145 lbs.,"74.0""",Orthodox,6,1,0,
1936,Jordan,Leavitt,The Monkey King,"5' 9""",155 lbs.,"71.0""",Southpaw,10,2,0,
1937,Jerome,LeBanner,,"6' 3""",265 lbs.,--,Southpaw,3,2,0,
1938,Chris,Leben,The Crippler,"5' 11""",185 lbs.,"73.0""",Southpaw,22,11,0,
1939,Mickael,Lebout,Ragnar,"5' 11""",155 lbs.,"73.0""",Orthodox,16,7,1,
1940,Stephen,Ledbetter,,"5' 9""",145 lbs.,--,Orthodox,8,3,0,
1941,Justin,Ledet,El Blanco,"6' 4""",205 lbs.,"80.0""",Orthodox,9,4,0,
1942,James,Lee,,"5' 11""",205 lbs.,--,Southpaw,15,3,0,
1943,David,Lee,,"5' 10""",155 lbs.,--,Orthodox,12,10,0,
1944,Jackie,Lee,,--,--,--,,0,1,0,
1945,Eun Soo,Lee,,"6' 1""",215 lbs.,--,Orthodox,17,4,0,
1946,Tae Hyun,Lee,,"6' 6""",295 lbs.,--,Orthodox,1,2,0,
1947,Tommy,Lee,,"5' 7""",145 lbs.,--,Orthodox,25,6,0,
1948,Matt,Lee,,"5' 11""",155 lbs.,--,Orthodox,14,10,1,
1949,Imani,Lee,,--,--,--,Orthodox,2,4,0,
1950,Vaughan,Lee,,"5' 6""",125 lbs.,"66.0""",Orthodox,14,13,1,
1951,Kevin,Lee,The Motown Phenom,"5' 9""",170 lbs.,"77.0""",Orthodox,18,7,0,
1952,Rocky,Lee,,"5' 9""",145 lbs.,--,Orthodox,3,2,0,
1953,Andrea,Lee,KGB,"5' 6""",125 lbs.,"69.0""",Orthodox,13,6,0,
1954,JeongYeong,Lee,Korean Tiger,"5' 10""",145 lbs.,"73.0""",Orthodox,8,1,0,
1955,Ricky,Legere Jr.,IE Bad Boy,"5' 8""",170 lbs.,--,,14,4,0,
1956,Sherron,Leggett,Rob Roy,"5' 8""",155 lbs.,--,Southpaw,21,6,0,
1957,Cheyden,Leialoha,Steadfast,"5' 8""",135 lbs.,"73.0""",Orthodox,6,0,0,
1958,Claudia,Leite,,"5' 3""",135 lbs.,"64.0""",Orthodox,8,3,0,
1959,Thales,Leites,,"6' 1""",185 lbs.,"78.0""",Orthodox,28,9,0,
1960,Stefan,Leko,Blitz,"6' 2""",215 lbs.,--,Orthodox,0,3,0,
1961,Gabe,Lemley,,"5' 8""",155 lbs.,--,Orthodox,13,9,0,
1962,Amanda,Lemos,,"5' 4""",115 lbs.,"65.0""",Southpaw,12,2,1,
1963,Giacomo,Lemos,,"6' 3""",247 lbs.,"75.0""",Orthodox,6,0,0,
1964,Christophe,Leninger,,"6' 0""",200 lbs.,--,Southpaw,3,4,0,
1965,Jesse,Lennox,The Ox,"5' 9""",170 lbs.,"72.0""",Orthodox,14,4,0,
1966,Jean Francois,Lenogue,,"6' 0""",185 lbs.,--,Orthodox,16,17,3,
1967,Nik,Lentz,The Carny,"5' 8""",145 lbs.,"68.0""",Orthodox,30,12,2,
1968,Alberta Cerra,Leon,,"5' 8""",238 lbs.,--,,0,1,0,
1969,Victoria,Leonardo,Fury,"5' 5""",125 lbs.,"64.0""",Orthodox,9,5,0,
1970,Anthony,Leone,,"5' 6""",135 lbs.,--,Orthodox,15,8,0,
1971,Chad,Leonhardt,The Boss,"6' 0""",170 lbs.,--,,9,4,0,
1972,Kimo,Leopoldo,,"6' 3""",235 lbs.,--,Orthodox,10,7,1,
1973,Michael,Lerma,,--,--,--,,0,1,0,
1974,Lukasz,Les,,--,170 lbs.,--,,8,3,0,
1975,Brock,Lesnar,,"6' 3""",265 lbs.,"81.0""",Orthodox,5,3,0,
1976,Frank,Lester,,"5' 11""",170 lbs.,--,Orthodox,11,6,0,
1977,Valerie,Letourneau,Trouble,"5' 7""",115 lbs.,"68.0""",Orthodox,8,6,0,
1978,Leah,Letson,Nidas,"5' 7""",145 lbs.,"71.0""",,5,3,0,
1979,Justin,Levens,The Executioner,"5' 11""",185 lbs.,--,Orthodox,10,7,0,
1980,Marcus,LeVesseur,The Prospect,"5' 9""",155 lbs.,"70.0""",Southpaw,22,7,0,
1981,David,Levicki,,"6' 5""",275 lbs.,--,,1,3,0,
1982,Kyle,Levinton,,--,--,--,,0,3,0,
1983,Natan,Levy,,"5' 9""",155 lbs.,"71.0""",Southpaw,7,1,0,
1984,John,Lewis,,"6' 0""",155 lbs.,--,Southpaw,3,4,3,
1985,Derrick,Lewis,The Black Beast,"6' 3""",260 lbs.,"79.0""",Orthodox,26,10,0,
1986,Bevon,Lewis,,"6' 3""",185 lbs.,"79.0""",Orthodox,7,3,0,
1987,Brandon,Lewis,,"5' 4""",135 lbs.,"70.0""",Orthodox,6,2,0,
1988,Malik,Lewis,Hard Knock,"6' 0""",155 lbs.,"76.0""",Orthodox,5,1,0,
1989,Chi,Lewis-Parry,Chopper,"6' 9""",243 lbs.,--,,7,0,1,
1990,Li,Jingliang,The Leech,"6' 0""",170 lbs.,"71.0""",Orthodox,19,8,0,
1991,Liang,Na,The Dragon Girl,"5' 5""",115 lbs.,"67.0""",Orthodox,19,6,0,
1992,Jess,Liaudin,The Joker,"5' 9""",170 lbs.,"72.0""",Orthodox,20,11,0,
1993,Chuck,Liddell,The Iceman,"6' 2""",205 lbs.,"76.0""",Orthodox,21,8,0,
1994,Rodrigo,Lidio,Dynamis,"5' 11""",155 lbs.,"73.0""",Orthodox,12,3,0,
1995,Sam,Liera,,--,--,--,,12,10,0,
1996,Zach,Light,,"5' 8""",170 lbs.,--,Orthodox,9,11,0,
1997,Scott,Lighty,,"6' 2""",205 lbs.,--,,6,2,0,
1998,Chris,Liguori,,"5' 9""",185 lbs.,--,Orthodox,15,10,0,
1999,Donnie,Liles,,"5' 9""",170 lbs.,--,Orthodox,17,7,0,
2000,Jae Suk,Lim,,"5' 9""",170 lbs.,--,Orthodox,17,6,0,
2001,Hyun Gyu,Lim,The Ace,"6' 3""",170 lbs.,"77.0""",Orthodox,13,7,1,
2002,Juliana,Lima,Ju Thai,"5' 5""",115 lbs.,"65.0""",Orthodox,9,5,0,
2003,Dhiego,Lima,,"6' 2""",170 lbs.,"75.0""",Orthodox,17,9,0,
2004,Douglas,Lima,The Phenom,"6' 1""",170 lbs.,--,,29,6,0,
2005,Mabelly,Lima,,"5' 2""",135 lbs.,--,Orthodox,7,1,0,
2006,Miguel,Linares,,--,--,--,,2,4,0,
2007,Emiliano,Linares,Golden Bull,"5' 8""",145 lbs.,"72.0""",Orthodox,8,2,0,
2008,Matt,Lindland,The Law,"6' 0""",185 lbs.,"74.0""",Southpaw,22,9,0,
2009,Jake,Lindsey,The Librarian,"5' 11""",155 lbs.,--,Switch,12,7,0,
2010,John,Lineker,Hands of Stone,"5' 3""",135 lbs.,"67.0""",Orthodox,31,9,0,
2011,Austin,Lingo,Lights Out,"5' 10""",145 lbs.,"70.0""",Orthodox,9,1,0,
2012,Lucio,Linhares,,"6' 2""",185 lbs.,--,Orthodox,19,8,0,
2013,Philipe,Lins,Monstro,"6' 2""",205 lbs.,"78.0""",Orthodox,15,5,0,
2014,Ariane,Lipski,Queen of Violence,"5' 6""",125 lbs.,"67.0""",Orthodox,14,8,0,
2015,Tainara,Lisboa,Thai Panter,"5' 6""",135 lbs.,--,,5,2,0,
2016,Dean,Lister,The Boogeyman,"6' 1""",185 lbs.,"75.0""",Orthodox,13,7,0,
2017,Wesley,Little,,"6' 4""",205 lbs.,--,,4,8,0,
2018,Abner,Lloveras,Skullman,"5' 11""",155 lbs.,--,,20,9,1,
2019,Brian,Lo-A-Njoe,,"5' 7""",155 lbs.,--,Orthodox,6,10,3,
2020,John,Lober,The Machine,"5' 11""",199 lbs.,--,Orthodox,5,9,4,
2021,Artem,Lobov,The Russian Hammer,"5' 9""",145 lbs.,"65.0""",Southpaw,13,15,1,
2022,Dylan,Lockard,,"5' 9""",145 lbs.,"72.0""",Orthodox,6,2,0,
2023,Sean,Loeffler,The Destroyer,"6' 3""",185 lbs.,--,Orthodox,31,5,0,
2024,Christian,Lohsen,Hollywood,"6' 2""",155 lbs.,"77.0""",Southpaw,4,2,0,
2025,David,Loiseau,The Crow,"6' 0""",185 lbs.,"76.0""",Orthodox,23,11,0,
2026,Hector,Lombard,,"5' 9""",185 lbs.,"71.0""",Southpaw,34,10,1,
2027,Michael,Lombardo,The Don,"6' 0""",170 lbs.,"72.0""",Orthodox,11,2,0,
2028,Rocky,Long,,--,145 lbs.,--,,21,37,1,
2029,Thomas,Longacre,,"5' 9""",145 lbs.,--,Orthodox,6,1,0,
2030,Loma,Lookboonmee,,"5' 1""",115 lbs.,"61.0""",Orthodox,7,3,0,
2031,Ange,Loosa,The Last Ninja,"5' 10""",170 lbs.,"74.0""",Orthodox,9,3,0,
2032,Lucas,Lopes,,"6' 2""",185 lbs.,--,,29,19,0,
2033,Dileno,Lopes,,"5' 5""",135 lbs.,--,,19,3,0,
2034,Diego,Lopes,,"5' 11""",145 lbs.,"72.0""",Orthodox,19,4,0,
2035,Ivan,Lopez,,"5' 6""",135 lbs.,--,Southpaw,14,3,1,
2036,Steve,Lopez,,"5' 11""",155 lbs.,--,Orthodox,13,6,1,
2037,Federico,Lopez,Kiko,"5' 4""",139 lbs.,--,Orthodox,10,6,0,
2038,Jorge,Lopez,,"5' 10""",170 lbs.,--,Orthodox,11,5,0,
2039,Christopher,Lopez,,"5' 10""",170 lbs.,--,,9,1,0,
2040,Matthew,Lopez,,"5' 7""",135 lbs.,"69.0""",Southpaw,10,4,0,
2041,Benito,Lopez,Golden Boy,"5' 10""",135 lbs.,"73.0""",Switch,10,1,0,
2042,Gustavo,Lopez,,"5' 5""",135 lbs.,"67.0""",Orthodox,12,6,1,
2043,Brendan,Loughnane,,"5' 10""",145 lbs.,"70.0""",Switch,17,3,0,
2044,Nate,Loughran,,"6' 2""",185 lbs.,--,Orthodox,11,2,0,
2045,Rashard,Lovelace,,--,155 lbs.,--,,4,1,0,
2046,Ian,Loveland,The Barn Owl,"5' 8""",145 lbs.,--,Orthodox,18,10,0,
2047,Jakob,Lovstad,The Striking Viking,"6' 3""",205 lbs.,--,Orthodox,11,4,0,
2048,Waylon,Lowe,,"5' 7""",145 lbs.,--,Southpaw,16,7,0,
2049,Brandon,Lowe,,--,155 lbs.,--,,2,1,0,
2050,Joe,Lowry,,"5' 11""",155 lbs.,"73.0""",Orthodox,9,2,0,
2051,Lu,Kai,,"5' 9""",145 lbs.,"68.0""",Orthodox,8,3,0,
2052,Robert,Lucarelli,,"6' 2""",245 lbs.,--,,0,1,0,
2053,Matt,Lucas,Luke Duke,"6' 1""",205 lbs.,--,,15,3,0,
2054,Cleber,Luciano,,"5' 6""",155 lbs.,--,,14,6,0,
2055,Iasmin,Lucindo,,"5' 3""",115 lbs.,"66.0""",Orthodox,13,5,0,
2056,Duane,Ludwig,Bang,"5' 10""",170 lbs.,"70.0""",Orthodox,21,14,0,
2057,Mike,Lullo,,"5' 8""",145 lbs.,--,Orthodox,8,3,0,
2058,Dalcha,Lungiambula,Champion,"5' 8""",185 lbs.,"76.0""",Orthodox,11,5,0,
2059,Alexandru,Lungu,,"6' 0""",385 lbs.,--,Orthodox,14,4,0,
2060,Vicente,Luque,The Silent Assassin,"5' 11""",170 lbs.,"76.0""",Orthodox,21,9,1,
2061,Thaddeus,Luster,,"6' 3""",210 lbs.,--,,0,1,0,
2062,Travis,Lutter,The Serial Killer,"5' 11""",185 lbs.,"75.0""",Orthodox,10,6,0,
2063,Tucker,Lutz,Top Gun,"5' 8""",145 lbs.,"72.0""",Orthodox,12,2,0,
2064,Lv,Zhenhong,,"5' 8""",145 lbs.,"67.0""",Switch,16,6,0,
2065,Stevie,Lynch,,"5' 10""",170 lbs.,--,Orthodox,5,2,0,
2066,Adam,Lynn,,"5' 10""",155 lbs.,--,Orthodox,17,10,0,
2067,Chris,Lytle,Lights Out,"5' 11""",170 lbs.,"68.0""",Orthodox,31,18,5,
2068,,,,,,,,,,,
2069,Dong Hyun,Ma,Maestro,"5' 11""",155 lbs.,"70.0""",Orthodox,16,11,3,
2070,Pawan,Maan,,"5' 7""",155 lbs.,"70.0""",Orthodox,7,3,1,
2071,William,Macario,Patolino,"5' 11""",170 lbs.,"75.0""",Orthodox,9,3,0,
2072,Jason,MacDonald,The Athlete,"6' 3""",185 lbs.,"80.0""",Orthodox,25,16,0,
2073,Rob,MacDonald,Maximus,"6' 3""",205 lbs.,"78.0""",Orthodox,5,4,0,
2074,Rory,MacDonald,Red King,"6' 0""",170 lbs.,"76.0""",Orthodox,19,4,0,
2075,Ryan,MacDonald,Main Event,"5' 11""",135 lbs.,"71.0""",Switch,10,2,0,
2076,Veronica,Macedo,,"5' 4""",125 lbs.,"64.0""",Southpaw,6,4,1,
2077,Clayton,MacFarlane,,--,170 lbs.,--,,4,1,0,
2078,Ilima,Macfarlane,,"5' 4""",125 lbs.,--,,6,0,0,
2079,Valesca,Machado,Tina Black,"5' 4""",115 lbs.,"63.0""",Orthodox,8,3,0,
2080,Caio,Machado,Lionheart,--,145 lbs.,--,,14,7,0,
2081,Lyoto,Machida,The Dragon,"6' 1""",185 lbs.,"74.0""",Southpaw,24,8,0,
2082,War,Machine,,"5' 11""",170 lbs.,--,Orthodox,14,5,0,
2083,Anthony,Macias,Mad Dog,"5' 9""",185 lbs.,--,Switch,26,18,0,
2084,Pauline,Macias,PITA,"5' 4""",115 lbs.,"64.0""",Southpaw,4,1,0,
2085,Reza,Madadi,Mad Dog,"5' 11""",155 lbs.,"73.0""",Orthodox,14,6,0,
2086,Don,Madge,Magic Man,"6' 0""",155 lbs.,"72.0""",Southpaw,9,3,1,
2087,Ryan,Madigan,,"6' 0""",170 lbs.,--,Orthodox,5,3,0,
2088,Jon,Madsen,,"6' 0""",240 lbs.,"72.0""",Orthodox,8,2,0,
2089,Mark,Madsen,The Olympian,"5' 8""",155 lbs.,"72.0""",Orthodox,12,0,0,
2090,Yoshiro,Maeda,,"5' 7""",139 lbs.,"68.0""",Southpaw,35,16,5,
2091,Leonardo,Mafra,Macarrao,"5' 10""",155 lbs.,"70.0""",Orthodox,13,4,0,
2092,Vinny,Magalhaes,Pezao,"6' 3""",205 lbs.,"75.0""",Orthodox,14,9,0,
2093,Vinicius,Magalhaes,Draculinho,--,145 lbs.,--,,2,1,0,
2094,Caio,Magalhaes,Hellboy,"6' 1""",185 lbs.,"73.0""",Orthodox,10,3,0,
2095,Bernardo,Magalhaes,Trekko,"5' 9""",155 lbs.,--,Orthodox,13,4,0,
2096,Eric,Magana,,--,--,--,,1,1,0,
2097,Brandon,Magana,,--,170 lbs.,--,Orthodox,6,2,0,
2098,Angela,Magana,Your Majesty,"5' 1""",115 lbs.,"65.0""",Orthodox,11,9,0,
2099,Neil,Magny,The Haitian Sensation,"6' 3""",170 lbs.,"80.0""",Orthodox,26,10,0,
2100,Ibragim,Magomedov,,"6' 0""",250 lbs.,--,Orthodox,22,8,1,
2101,Rashid,Magomedov,Highlander,"5' 9""",155 lbs.,"70.0""",Orthodox,20,2,0,
2102,Ruslan,Magomedov,Leopard,"6' 3""",242 lbs.,"78.0""",Orthodox,14,1,0,
2103,Abus,Magomedov,,"6' 2""",185 lbs.,"78.0""",Orthodox,25,4,1,
2104,Zabit,Magomedsharipov,,"6' 1""",145 lbs.,"73.0""",Orthodox,18,1,0,
2105,John,Maguire,The One,"5' 9""",155 lbs.,"69.0""",Southpaw,24,9,0,
2106,Lolohea,Mahe,,--,--,--,,10,4,1,
2107,Michelle,Maher,,--,145 lbs.,--,,1,2,0,
2108,,Maheshate,,"6' 0""",155 lbs.,"71.0""",Orthodox,9,1,0,
2109,Bill,Mahood,The Butcher,"6' 3""",200 lbs.,--,Orthodox,20,7,1,
2110,Klayton,Mai,,"5' 9""",125 lbs.,--,,8,3,0,
2111,Demian,Maia,,"6' 1""",170 lbs.,"72.0""",Southpaw,28,11,0,
2112,Jennifer,Maia,,"5' 4""",125 lbs.,"64.0""",Orthodox,19,9,1,
2113,Nayara,Maia,Capita,"5' 5""",125 lbs.,"66.0""",Orthodox,7,1,1,
2114,Roshan,Mainam,The Indian Notorious,--,135 lbs.,--,,6,3,0,
2115,Levan,Makashvili,The Hornet,"5' 8""",145 lbs.,"68.0""",Orthodox,15,2,1,
2116,John,Makdessi,The Bull,"5' 8""",155 lbs.,"68.0""",Orthodox,18,8,0,
2117,Islam,Makhachev,,"5' 10""",155 lbs.,"70.0""",Southpaw,22,1,0,
2118,Aliev,Makhmud,,"5' 6""",195 lbs.,--,Southpaw,0,1,0,
2119,Zach,Makovsky,Fun Size,"5' 4""",125 lbs.,"64.0""",Southpaw,20,8,0,
2120,Jeremy,Malaterre,,"5' 11""",155 lbs.,--,,4,2,0,
2121,Fabio,Maldonado,Caipira de Aco,"6' 1""",205 lbs.,"75.0""",Orthodox,23,11,0,
2122,Marvin,Maldonado,The Bulldog,"5' 6""",135 lbs.,--,,2,4,0,
2123,Bea,Malecki,,"5' 9""",135 lbs.,"74.0""",Orthodox,4,1,0,
2124,Nazareno,Malegarie,El Tigre,"5' 8""",155 lbs.,--,,28,4,0,
2125,Carl,Malenko,,"5' 11""",200 lbs.,--,Orthodox,6,4,0,
2126,Jacob,Malkoun,Mamba,"5' 9""",185 lbs.,"73.0""",Orthodox,7,2,0,
2127,Mike,Malott,Proper,"6' 1""",170 lbs.,"73.0""",Orthodox,8,1,1,
2128,Troy,Mandaloniz,Rude Boy,"5' 9""",170 lbs.,--,Orthodox,3,2,0,
2129,Nate,Maness,Mayhem,"5' 10""",125 lbs.,"72.0""",Orthodox,14,2,0,
2130,Michael,Mangan,,--,155 lbs.,--,,0,3,0,
2131,Gary,Mangat,,"5' 7""",135 lbs.,--,,15,3,0,
2132,Melvin,Manhoef,No Mercy,"5' 9""",185 lbs.,--,Orthodox,30,14,1,
2133,Melchor,Manibusan,Barracuda,"5' 5""",154 lbs.,--,Southpaw,2,4,0,
2134,Jon,Manley,,"6' 1""",170 lbs.,--,Orthodox,9,4,0,
2135,Steve,Mann,,"6' 1""",170 lbs.,--,,12,5,0,
2136,Marnic,Mann,The Sawed-Off Savage,"5' 0""",115 lbs.,"64.0""",Southpaw,5,1,0,
2137,Chris,Manuel,,"5' 9""",135 lbs.,--,Orthodox,9,7,2,
2138,Jimi,Manuwa,Poster Boy,"6' 1""",205 lbs.,"79.0""",Orthodox,17,6,0,
2139,Cristiano,Marcello,,"5' 9""",155 lbs.,"72.0""",Orthodox,13,6,0,
2140,Daniel,Marcos,Soncora,"5' 7""",135 lbs.,"69.0""",Orthodox,13,0,0,
2141,Jose,Maria,No Chance,"5' 5""",125 lbs.,--,Orthodox,37,7,0,
2142,Marcos,Mariano,Dhalsim,"6' 1""",155 lbs.,"76.0""",Switch,6,6,0,
2143,Enrique,Marin,Wasabi,"5' 10""",170 lbs.,--,,10,4,0,
2144,Ronny,Markes,,"6' 1""",185 lbs.,"75.0""",Orthodox,17,5,0,
2145,Rory,Markham,,"6' 0""",170 lbs.,"71.0""",Orthodox,17,6,0,
2146,Randa,Markos,Quiet Storm,"5' 4""",115 lbs.,"63.0""",Orthodox,11,12,1,
2147,Christina,Marks,,"5' 7""",125 lbs.,"69.0""",Orthodox,8,9,0,
2148,Nate,Marquardt,The Great,"6' 0""",185 lbs.,"74.0""",Orthodox,35,19,2,
2149,Danilo,Marques,,"6' 6""",205 lbs.,"77.0""",Orthodox,11,4,0,
2150,Julian,Marquez,The Cuban Missile Crisis,"6' 2""",185 lbs.,"72.0""",Orthodox,9,3,0,
2151,Carmelo,Marrero,The Fury,"6' 0""",205 lbs.,"73.0""",Orthodox,16,6,0,
2152,Cesar,Marscucci,,--,--,--,,3,2,0,
2153,John,Marsh,,"6' 0""",265 lbs.,--,Orthodox,8,7,0,
2154,CJ,Marsh,,--,--,--,,5,7,0,
